sample_id,date_collected,max_depth,lat,long,vol_filtered_ml
T1_D0_DP1,10/12/2019,37.3,-42.331465,145.392204,500
T1_D1_DP1,10/12/2019,37.3,-42.33148069,145.392403,800
T1_D1_DP2,10/12/2019,37.3,-42.33148069,145.392403,1300
T1_D1_DP3,10/12/2019,37.3,-42.33148069,145.392403,2000
T1_D2_DP1,10/12/2019,37.5,-42.33143405,145.392421,70
T1_D2_DP2,10/12/2019,37.5,-42.33143405,145.392421,2000
T1_D2_DP3,10/12/2019,37.5,-42.33143405,145.392421,2000
T1_D3_DP1,10/12/2019,36.7,-42.33151401,145.3932052,600
T1_D3_DP2,10/12/2019,36.7,-42.33151401,145.3932052,1800
T1_D3_DP3,10/12/2019,36.7,-42.33151401,145.3932052,2000
T2_D0_DP1,10/12/2019,37.5,-42.331892,145.391588,500
T2_D1_DP1,10/12/2019,37.6,-42.33205373,145.3917721,900
T2_D1_DP2,10/12/2019,37.6,-42.33205373,145.3917721,1400
T2_D1_DP3,10/12/2019,37.6,-42.33205373,145.3917721,700
T2_D2_DP1,10/12/2019,37.5,-42.33175389,145.3918802,1000
T2_D2_DP2,10/12/2019,37.5,-42.33175389,145.3918802,2000
T2_D2_DP3,10/12/2019,37.5,-42.33175389,145.3918802,2000
T2_D3_DP1,10/12/2019,37,-42.33200042,145.3925833,1100
T2_D3_DP2,10/12/2019,37,-42.33200042,145.3925833,2000
T2_D3_DP3,10/12/2019,37,-42.33200042,145.3925833,600
T3_D0_DP1,11/12/2019,25.5,-42.291221,145.347438,500
T3_D1_DP1,11/12/2019,25.5,-42.29127521,145.3474714,700
T3_D1_DP2,11/12/2019,25.5,-42.29127521,145.3474714,2000
T3_D1_DP3,11/12/2019,25.5,-42.29127521,145.3474714,2000
T3_D2_DP1,11/12/2019,26.4,-42.29132855,145.3475074,600
T3_D2_DP2,11/12/2019,26.4,-42.29132855,145.3475074,2000
T3_D2_DP3,11/12/2019,26.4,-42.29132855,145.3475074,2000
T3_D3_DP1,11/12/2019,26.3,-42.29163525,145.3481293,600
T3_D3_DP2,11/12/2019,26.3,-42.29163525,145.3481293,1400
T3_D3_DP3,11/12/2019,26.3,-42.29163525,145.3481293,2000
T4_D0_DP1,11/12/2019,27.2,-42.290912,145.348104,600
T4_D1_DP1,11/12/2019,27.2,-42.29096184,145.3481203,600
T4_D1_DP2,11/12/2019,27.2,-42.29096184,145.3481203,2000
T4_D1_DP3,11/12/2019,27.2,-42.29096184,145.3481203,2000
T4_D2_DP1,11/12/2019,27.2,-42.29098184,145.3481023,700
T4_D2_DP2,11/12/2019,27.2,-42.29098184,145.3481023,2000
T4_D2_DP3,11/12/2019,27.2,-42.29098184,145.3481023,2000
T4_D3_DP1,11/12/2019,27.4,-42.29142189,145.348562,700
T4_D3_DP2,11/12/2019,27.4,-42.29142189,145.348562,2000
T4_D3_DP3,11/12/2019,27.4,-42.29142189,145.348562,2000
T5_D0_DP1,11/12/2019,36.5,-42.28905,145.351664,500
T5_D1_DP1,11/12/2019,36.5,-42.2890949,145.3517617,800
T5_D1_DP2,11/12/2019,36.5,-42.2890949,145.3517617,2000
T5_D1_DP3,11/12/2019,36.5,-42.2890949,145.3517617,2000
T5_D2_DP1,11/12/2019,36.4,-42.28914157,145.3518158,600
T5_D2_DP2,11/12/2019,36.4,-42.28914157,145.3518158,2000
T5_D2_DP3,11/12/2019,36.4,-42.28914157,145.3518158,2000
T5_D3_DP1,11/12/2019,36.1,-42.28966165,145.3522665,500
T5_D3_DP2,11/12/2019,36.1,-42.28966165,145.3522665,2000
T5_D3_DP3,11/12/2019,36.1,-42.28966165,145.3522665,2000
CA_DP1,13/12/2019,,-42.28546088,145.3690223,1100
CA_DP2,13/12/2019,,-42.28546088,145.3690223,2000
CA_DP3,13/12/2019,,-42.28546088,145.3690223,2000
CB_DP1,13/12/2019,38.9,-42.24179632,145.3249109,1600
CB_DP2,13/12/2019,38.9,-42.24179632,145.3249109,2000
CB_DP3,13/12/2019,38.9,-42.24179632,145.3249109,2000
CC_DP1,10/12/2019,34.5,-42.3270095,145.4090147,600
CC_DP2,10/12/2019,34.5,-42.3270095,145.4090147,800
CC_DP3,10/12/2019,34.5,-42.3270095,145.4090147,800
